"Curso","ano","fem","mas"
"Ciência da Computação","2001","1516","3557"
"Engenharia da Computação","2001","80","335"
"Sistemas de Informação","2001","492","848"
"Licenciatura em Computação","2001","5","18"
"Outros","2001","380","570"
"Engenharia de Software","2001","0","0"
"Ciência da Computação","2002","1520","4436"
"Engenharia da Computação","2002","72","447"
"Sistemas de Informação","2002","615","1363"
"Licenciatura em Computação","2002","11","23"
"Outros","2002","370","743"
"Engenharia de Software","2002","0","0"
"Ciência da Computação","2003","1607","5044"
"Engenharia da Computação","2003","121","646"
"Sistemas de Informação","2003","845","2160"
"Licenciatura em Computação","2003","31","51"
"Outros","2003","301","761"
"Engenharia de Software","2003","0","0"
"Ciência da Computação","2004","1882","6858"
"Engenharia da Computação","2004","163","852"
"Sistemas de Informação","2004","1386","3865"
"Licenciatura em Computação","2004","149","226"
"Outros","2004","333","845"
"Engenharia de Software","2004","1","6"
"Ciência da Computação","2005","1683","6326"
"Engenharia da Computação","2005","142","791"
"Sistemas de Informação","2005","2282","6124"
"Licenciatura em Computação","2005","233","356"
"Outros","2005","297","908"
"Engenharia de Software","2005","9","2"
"Ciência da Computação","2006","1537","6572"
"Engenharia da Computação","2006","158","968"
"Sistemas de Informação","2006","2250","7147"
"Licenciatura em Computação","2006","185","338"
"Outros","2006","332","916"
"Engenharia de Software","2006","3","11"
"Ciência da Computação","2007","1422","5997"
"Engenharia da Computação","2007","142","1070"
"Sistemas de Informação","2007","2053","7460"
"Licenciatura em Computação","2007","182","336"
"Outros","2007","301","870"
"Engenharia de Software","2007","4","12"
"Ciência da Computação","2008","1246","6205"
"Engenharia da Computação","2008","163","1104"
"Sistemas de Informação","2008","2219","8399"
"Licenciatura em Computação","2008","222","408"
"Outros","2008","247","827"
"Engenharia de Software","2008","0","24"
"Ciência da Computação","2009","1183","6686"
"Engenharia da Computação","2009","231","1765"
"Sistemas de Informação","2009","2474","9760"
"Licenciatura em Computação","2009","196","442"
"Outros","2009","1048","1831"
"Engenharia de Software","2009","2","9"
"Ciência da Computação","2010","1024","5912"
"Engenharia da Computação","2010","158","1460"
"Sistemas de Informação","2010","2254","9273"
"Licenciatura em Computação","2010","228","441"
"Outros","2010","285","645"
"Engenharia de Software","2010","0","0"
"Ciência da Computação","2011","1019","5817"
"Engenharia da Computação","2011","192","1557"
"Sistemas de Informação","2011","2072","9074"
"Licenciatura em Computação","2011","246","559"
"Outros","2011","175","379"
"Engenharia de Software","2011","0","0"
"Ciência da Computação","2012","1136","6534"
"Engenharia da Computação","2012","218","1699"
"Sistemas de Informação","2012","2279","8942"
"Licenciatura em Computação","2012","250","437"
"Outros","2012","230","446"
"Engenharia de Software","2012","1","14"
"Ciência da Computação","2013","916","5670"
"Engenharia da Computação","2013","201","1458"
"Sistemas de Informação","2013","1935","8335"
"Licenciatura em Computação","2013","408","550"
"Outros","2013","184","373"
"Engenharia de Software","2013","4","50"
"Ciência da Computação","2014","853","5333"
"Engenharia da Computação","2014","198","1594"
"Sistemas de Informação","2014","1664","7970"
"Licenciatura em Computação","2014","566","642"
"Outros","2014","133","293"
"Engenharia de Software","2014","15","66"
"Ciência da Computação","2015","757","4934"
"Engenharia da Computação","2015","198","1532"
"Sistemas de Informação","2015","1696","8435"
"Licenciatura em Computação","2015","579","897"
"Outros","2015","170","315"
"Engenharia de Software","2015","13","93"
"Ciência da Computação","2016","888","5582"
"Engenharia da Computação","2016","268","1846"
"Sistemas de Informação","2016","1810","8476"
"Licenciatura em Computação","2016","460","667"
"Outros","2016","153","331"
"Engenharia de Software","2016","17","127"
"Ciência da Computação","2017","812","5349"
"Engenharia da Computação","2017","301","1966"
"Sistemas de Informação","2017","1592","7559"
"Licenciatura em Computação","2017","453","628"
"Outros","2017","143","337"
"Engenharia de Software","2017","29","203"
