"curso","ano","num"
"Ciência da Computação","2001","0"
"Engenharia da Computação","2001","0"
"Sistemas de Informação","2001","0"
"Licenciatura em Computação","2001","0"
"Engenharia de Software","2001","0"
"Tecnólogo","2001","0"
"Outros","2001","0"
"Ciência da Computação","2002","0"
"Engenharia da Computação","2002","0"
"Sistemas de Informação","2002","0"
"Licenciatura em Computação","2002","0"
"Engenharia de Software","2002","0"
"Tecnólogo","2002","0"
"Outros","2002","0"
"Ciência da Computação","2003","0"
"Engenharia da Computação","2003","0"
"Sistemas de Informação","2003","0"
"Licenciatura em Computação","2003","0"
"Engenharia de Software","2003","0"
"Tecnólogo","2003","0"
"Outros","2003","0"
"Ciência da Computação","2004","0"
"Engenharia da Computação","2004","0"
"Sistemas de Informação","2004","0"
"Licenciatura em Computação","2004","0"
"Engenharia de Software","2004","0"
"Tecnólogo","2004","0"
"Outros","2004","0"
"Ciência da Computação","2005","284"
"Engenharia da Computação","2005","72"
"Sistemas de Informação","2005","467"
"Licenciatura em Computação","2005","75"
"Engenharia de Software","2005","0"
"Tecnólogo","2005","667"
"Outros","2005","62"
"Ciência da Computação","2006","305"
"Engenharia da Computação","2006","77"
"Sistemas de Informação","2006","497"
"Licenciatura em Computação","2006","70"
"Engenharia de Software","2006","0"
"Tecnólogo","2006","681"
"Outros","2006","82"
"Ciência da Computação","2007","321"
"Engenharia da Computação","2007","86"
"Sistemas de Informação","2007","529"
"Licenciatura em Computação","2007","65"
"Engenharia de Software","2007","0"
"Tecnólogo","2007","842"
"Outros","2007","54"
"Ciência da Computação","2008","328"
"Engenharia da Computação","2008","93"
"Sistemas de Informação","2008","538"
"Licenciatura em Computação","2008","78"
"Engenharia de Software","2008","1"
"Tecnólogo","2008","907"
"Outros","2008","55"
"Ciência da Computação","2009","334"
"Engenharia da Computação","2009","124"
"Sistemas de Informação","2009","559"
"Licenciatura em Computação","2009","71"
"Engenharia de Software","2009","2"
"Tecnólogo","2009","918"
"Outros","2009","136"
"Ciência da Computação","2010","336"
"Engenharia da Computação","2010","120"
"Sistemas de Informação","2010","580"
"Licenciatura em Computação","2010","79"
"Engenharia de Software","2010","5"
"Tecnólogo","2010","978"
"Outros","2010","57"
"Ciência da Computação","2011","341"
"Engenharia da Computação","2011","137"
"Sistemas de Informação","2011","584"
"Licenciatura em Computação","2011","84"
"Engenharia de Software","2011","6"
"Tecnólogo","2011","968"
"Outros","2011","63"
"Ciência da Computação","2012","346"
"Engenharia da Computação","2012","142"
"Sistemas de Informação","2012","595"
"Licenciatura em Computação","2012","85"
"Engenharia de Software","2012","5"
"Tecnólogo","2012","1000"
"Outros","2012","43"
"Ciência da Computação","2013","344"
"Engenharia da Computação","2013","149"
"Sistemas de Informação","2013","598"
"Licenciatura em Computação","2013","90"
"Engenharia de Software","2013","6"
"Tecnólogo","2013","1010"
"Outros","2013","38"
"Ciência da Computação","2014","366"
"Engenharia da Computação","2014","172"
"Sistemas de Informação","2014","604"
"Licenciatura em Computação","2014","91"
"Engenharia de Software","2014","17"
"Tecnólogo","2014","1068"
"Outros","2014","35"
"Ciência da Computação","2015","362"
"Engenharia da Computação","2015","187"
"Sistemas de Informação","2015","591"
"Licenciatura em Computação","2015","103"
"Engenharia de Software","2015","22"
"Tecnólogo","2015","1091"
"Outros","2015","31"
"Ciência da Computação","2016","372"
"Engenharia da Computação","2016","205"
"Sistemas de Informação","2016","596"
"Licenciatura em Computação","2016","89"
"Engenharia de Software","2016","26"
"Tecnólogo","2016","1068"
"Outros","2016","34"
"Ciência da Computação","2017","362"
"Engenharia da Computação","2017","218"
"Sistemas de Informação","2017","566"
"Licenciatura em Computação","2017","90"
"Engenharia de Software","2017","30"
"Tecnólogo","2017","1060"
"Outros","2017","29"
