"curso","ano","fem","mas"
"Ciência da Computação","2009","2826","17211"
"Engenharia da Computação","2009","662","5345"
"Sistemas de Informação","2009","6480","27223"
"Licenciatura em Computação","2009","1051","2274"
"Outros","2009","970","2383"
"Engenharia de Software","2009","6","88"
"Ciência da Computação","2010","2714","16993"
"Engenharia da Computação","2010","698","4935"
"Sistemas de Informação","2010","4821","22487"
"Licenciatura em Computação","2010","619","1294"
"Outros","2010","970","2383"
"Engenharia de Software","2010","13","122"
"Ciência da Computação","2011","2515","16358"
"Engenharia da Computação","2011","659","4754"
"Sistemas de Informação","2011","4337","21937"
"Licenciatura em Computação","2011","642","1390"
"Outros","2011","206","589"
"Engenharia de Software","2011","6","73"
"Ciência da Computação","2012","2506","16902"
"Engenharia da Computação","2012","787","5556"
"Sistemas de Informação","2012","4496","22729"
"Licenciatura em Computação","2012","336","960"
"Outros","2012","242","638"
"Engenharia de Software","2012","10","58"
"Ciência da Computação","2013","2423","16713"
"Engenharia da Computação","2013","776","5615"
"Sistemas de Informação","2013","3957","20331"
"Licenciatura em Computação","2013","312","797"
"Outros","2013","133","606"
"Engenharia de Software","2013","7","55"
"Ciência da Computação","2014","2377","17893"
"Engenharia da Computação","2014","799","5838"
"Sistemas de Informação","2014","3597","22254"
"Licenciatura em Computação","2014","319","1060"
"Outros","2014","147","590"
"Engenharia de Software","2014","4","52"
"Ciência da Computação","2015","2098","16690"
"Engenharia da Computação","2015","800","6061"
"Sistemas de Informação","2015","2842","16557"
"Licenciatura em Computação","2015","165","614"
"Outros","2015","126","439"
"Engenharia de Software","2015","8","38"
"Ciência da Computação","2016","2574","20069"
"Engenharia da Computação","2016","1316","10391"
"Sistemas de Informação","2016","3728","22262"
"Licenciatura em Computação","2016","788","1902"
"Outros","2016","424","1476"
"Engenharia de Software","2016","196","1322"
"Ciência da Computação","2017","2518","19926"
"Engenharia da Computação","2017","1123","9557"
"Sistemas de Informação","2017","3586","22112"
"Licenciatura em Computação","2017","1551","3523"
"Outros","2017","305","994"
"Engenharia de Software","2017","248","1839"
